n16,n17,o19,cell-volume,cellnumber,x,y,z
666440000000.0,87680000.0,181810000000.0,2.5303e-08,58709,-0.024749,-0.25864,0.88848
663700000000.0,87234000.0,181500000000.0,2.3377e-08,58710,-0.026029,-0.25838,0.88619
666810000000.0,87728000.0,181860000000.0,2.3306e-08,58711,-0.0231,-0.25867,0.89048
629270000000.0,81948000.0,177250000000.0,2.1653e-08,58716,-0.02315,-0.25713,0.88262
652480000000.0,85608000.0,180000000000.0,1.3534e-08,58717,-0.026052,-0.25668,0.88429
646180000000.0,84605000.0,179280000000.0,1.7503e-08,58718,-0.026664,-0.2569,0.8814
618430000000.0,80206000.0,176000000000.0,3.039e-08,58719,-0.023136,-0.25883,0.87978
672420000000.0,88575000.0,182500000000.0,2.0218e-08,58721,-0.030134,-0.25892,0.88277
637610000000.0,83171000.0,178510000000.0,2.9385e-08,58722,-0.027126,-0.25891,0.87609
657390000000.0,86278000.0,180740000000.0,2.1986e-08,58727,-0.020512,-0.25803,0.89115
670920000000.0,88220000.0,182220000000.0,2.2168e-08,58728,-0.019672,-0.25919,0.89342
679590000000.0,89797000.0,183050000000.0,9.4814e-09,58737,-0.016273,-0.25815,0.89726
668320000000.0,88037000.0,181910000000.0,1.9879e-08,58738,-0.014247,-0.25798,0.89578
646450000000.0,84692000.0,179320000000.0,1.2388e-08,58739,-0.018461,-0.2566,0.89077
623810000000.0,81186000.0,176580000000.0,1.8207e-08,58740,-0.015229,-0.25707,0.88878
631620000000.0,82354000.0,177550000000.0,1.5424e-08,58741,-0.018358,-0.25703,0.88793
628570000000.0,81866000.0,177150000000.0,1.698e-08,58742,-0.020535,-0.25706,0.88531
616060000000.0,79997000.0,175590000000.0,1.6409e-08,58743,-0.016725,-0.25722,0.88531
649190000000.0,84506000.0,182590000000.0,2.1855e-08,58913,0.021898,-0.25753,0.86949
637720000000.0,82885000.0,180870000000.0,1.302e-08,58914,0.019445,-0.2573,0.87227
654920000000.0,85346000.0,183520000000.0,1.9986e-08,58915,0.022593,-0.2575,0.86524
747390000000.0,99378000.0,193730000000.0,1.0107e-08,58916,0.034166,-0.25647,0.87092
714910000000.0,94487000.0,190040000000.0,1.2264e-08,58917,0.031627,-0.25665,0.86888
734810000000.0,97438000.0,192500000000.0,1.7402e-08,58918,0.03466,-0.25777,0.86946
739250000000.0,98242000.0,192490000000.0,9.6496e-09,58919,0.032965,-0.25643,0.87555
748410000000.0,99568000.0,193720000000.0,8.2087e-09,58920,0.034202,-0.25644,0.87321
763900000000.0,101880000.0,195600000000.0,4.3121e-09,58921,0.036038,-0.2564,0.87229
748580000000.0,99542000.0,193990000000.0,9.5714e-09,58922,0.03632,-0.25827,0.87095
744250000000.0,98934000.0,193300000000.0,7.9704e-09,58923,0.035804,-0.25817,0.87367
728730000000.0,96440000.0,192080000000.0,2.1103e-08,58924,0.03421,-0.25812,0.86662
754000000000.0,100300000.0,194770000000.0,8.6604e-09,58927,0.036802,-0.25806,0.86809
739620000000.0,98275000.0,192590000000.0,8.8041e-09,58934,0.034853,-0.2582,0.87654
760940000000.0,101470000.0,195080000000.0,4.0476e-09,58936,0.035313,-0.25637,0.87515
753900000000.0,100470000.0,194080000000.0,4.8226e-09,58938,0.034288,-0.25643,0.87775
723460000000.0,95712000.0,191310000000.0,1.1386e-08,58940,0.032461,-0.25665,0.86588
692800000000.0,91032000.0,187940000000.0,2.1969e-08,58941,0.029038,-0.25721,0.8657
728220000000.0,96364000.0,192190000000.0,1.7789e-08,58945,0.032248,-0.25682,0.86288
697250000000.0,91686000.0,188750000000.0,2.0828e-08,58946,0.029083,-0.25721,0.86172
709110000000.0,93361000.0,190570000000.0,3.8762e-08,58947,0.031341,-0.25917,0.86082
725160000000.0,96205000.0,190690000000.0,5.7528e-09,58948,0.03122,-0.25574,0.87244
696510000000.0,91829000.0,187530000000.0,7.6018e-09,58949,0.028377,-0.25604,0.86977
691420000000.0,91094000.0,186760000000.0,6.3066e-09,58950,0.027844,-0.25595,0.87334
619350000000.0,80592000.0,177310000000.0,1.3883e-08,58965,0.0091643,-0.25693,0.87365
625840000000.0,81755000.0,177870000000.0,8.2678e-09,58966,0.00813,-0.25616,0.87778
624170000000.0,81356000.0,177470000000.0,6.032e-09,58967,0.0066966,-0.25671,0.87312
617050000000.0,80169000.0,176610000000.0,1.1126e-08,58968,0.0052122,-0.2581,0.87388
624800000000.0,81507000.0,177770000000.0,9.6807e-09,58969,0.0085639,-0.25649,0.88497
617440000000.0,80362000.0,176390000000.0,1.1951e-08,58988,0.0020613,-0.25679,0.87686
608890000000.0,79190000.0,175370000000.0,1.6454e-08,58989,0.00017614,-0.25717,0.8795
604810000000.0,78264000.0,175060000000.0,9.3113e-09,58990,0.0003722,-0.25909,0.87502
614070000000.0,80110000.0,176080000000.0,9.9596e-09,58992,-0.0017489,-0.25819,0.87503
620790000000.0,80797000.0,176810000000.0,6.9402e-09,58993,0.0023418,-0.25762,0.87476
628040000000.0,82130000.0,177520000000.0,5.493e-09,58994,0.00017518,-0.25661,0.87521
616720000000.0,80505000.0,176240000000.0,1.2459e-08,58995,-0.0017193,-0.25683,0.87685
605020000000.0,78570000.0,174650000000.0,1.7292e-08,58996,-0.004193,-0.25717,0.87912
628940000000.0,81954000.0,179110000000.0,1.4273e-08,59008,0.011163,-0.25855,0.86533
624460000000.0,81307000.0,178300000000.0,1.3418e-08,59013,0.01159,-0.25699,0.86994
627790000000.0,81649000.0,179190000000.0,1.6426e-08,59014,0.014809,-0.25716,0.8694
623630000000.0,81231000.0,177790000000.0,6.5075e-09,59015,0.009151,-0.25682,0.87064
635240000000.0,82654000.0,180470000000.0,1.8599e-08,59017,0.016626,-0.25731,0.86637
634740000000.0,82484000.0,180520000000.0,1.3478e-08,59018,0.018128,-0.25723,0.86942
627710000000.0,81545000.0,179790000000.0,3.457e-08,59019,0.0134,-0.25919,0.86311
630250000000.0,82141000.0,179420000000.0,1.7206e-08,59029,0.013402,-0.25708,0.86579
629660000000.0,82145000.0,178810000000.0,6.7794e-09,59030,0.010817,-0.25685,0.86732
638310000000.0,83528000.0,179270000000.0,3.613e-09,59031,0.0091343,-0.25823,0.86847
605710000000.0,78632000.0,174530000000.0,8.9915e-09,59035,-0.0044094,-0.25636,0.8846
613490000000.0,79905000.0,175610000000.0,9.2777e-09,59036,-0.002201,-0.25632,0.88208
597260000000.0,77276000.0,173240000000.0,2.2711e-08,59037,-0.011314,-0.25763,0.88233
673190000000.0,88677000.0,182530000000.0,9.0007e-09,59038,0.00036885,-0.25635,0.89892
652050000000.0,85472000.0,180260000000.0,1.3525e-08,59039,-0.00087052,-0.25668,0.8961
617480000000.0,80494000.0,176590000000.0,1.147e-08,59040,0.0045497,-0.25646,0.88562
590480000000.0,76379000.0,172680000000.0,3.3632e-08,59044,-0.012583,-0.25906,0.87561
601370000000.0,77929000.0,173700000000.0,1.7338e-08,59045,-0.014156,-0.25744,0.87964
597600000000.0,77404000.0,173380000000.0,1.916e-08,59046,-0.010871,-0.25746,0.87902
602560000000.0,78277000.0,174210000000.0,1.8746e-08,59047,-0.007724,-0.25725,0.87769
600670000000.0,78042000.0,174260000000.0,2.6558e-08,59049,-0.0070887,-0.25863,0.87491
614340000000.0,80238000.0,176030000000.0,1.0319e-08,59052,-0.0046949,-0.25825,0.87403
615800000000.0,80449000.0,176010000000.0,1.0733e-08,59054,-0.0053679,-0.25677,0.87581
626850000000.0,82232000.0,177410000000.0,5.2273e-09,59055,-0.0032278,-0.25662,0.87472
604460000000.0,78306000.0,174110000000.0,2.0571e-08,59057,-0.01294,-0.25748,0.8855
604220000000.0,78258000.0,174080000000.0,1.4143e-08,59058,-0.015218,-0.25727,0.88264
615140000000.0,80203000.0,176190000000.0,1.0518e-08,59059,0.0026505,-0.25638,0.88237
610870000000.0,79492000.0,175470000000.0,8.6618e-09,59060,2.3419e-05,-0.25636,0.88484
614720000000.0,79964000.0,175720000000.0,6.7885e-09,59061,-0.0021448,-0.25622,0.88753
627050000000.0,81800000.0,177480000000.0,4.1331e-09,59065,0.0036367,-0.2565,0.87462
666540000000.0,87765000.0,181750000000.0,2.0807e-08,59068,-0.011399,-0.2579,0.89662
650120000000.0,85238000.0,179830000000.0,1.2746e-08,59070,-0.008022,-0.25664,0.89545
651460000000.0,85491000.0,179900000000.0,8.5157e-09,59071,-0.010731,-0.2565,0.89512
649790000000.0,85236000.0,179680000000.0,1.1906e-08,59072,-0.012967,-0.25665,0.89392
631200000000.0,82389000.0,177450000000.0,1.2321e-08,59073,-0.012838,-0.25686,0.89116
608400000000.0,79211000.0,174990000000.0,3.2956e-08,59080,-0.012601,-0.25894,0.86854
614380000000.0,80314000.0,175660000000.0,1.394e-08,59081,-0.011469,-0.25701,0.8703
619160000000.0,81089000.0,176350000000.0,6.6868e-09,59082,-0.0089922,-0.25684,0.87085
611980000000.0,79900000.0,175440000000.0,1.4135e-08,59083,-0.0089809,-0.25695,0.87365
607750000000.0,79206000.0,174740000000.0,1.5989e-08,59084,-0.012495,-0.25713,0.87315
604030000000.0,78559000.0,174300000000.0,1.2695e-08,59085,-0.010567,-0.2571,0.8759
612290000000.0,79956000.0,175660000000.0,1.2042e-08,59086,-0.0077362,-0.25837,0.87204
610970000000.0,79757000.0,175420000000.0,1.3849e-08,59087,-0.0098728,-0.25861,0.86931
611110000000.0,79632000.0,175120000000.0,2.0604e-08,59089,-0.01477,-0.25736,0.87
