element,isotope,state,cooling time,isotope % dose,pathway,pathway % dose,Scenario,Spectrum,Material,Dose threshold
Co,60,,11.6 d,11.94952486,"Ni60 -(n,p)-> Co60",1.310862877,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,11.6 d,1.211220403,"Cr50 -(n,g)-> Cr51",0.766908423,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,11.6 d,0.777902237,"Ni58 -(n,np)-> Co57",0.757910149,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,11.6 d,1.211220403,"Cr52 -(n,2n)-> Cr51",0.388595842,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Fe,59,,11.6 d,1.461154772,"Ni62 -(n,a)-> Fe59",0.085550612,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,11.6 d,1.211220403,"Fe54 -(n,a)-> Cr51",0.054831948,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Fe,59,,11.6 d,1.461154772,"Co59 -(n,p)-> Fe59",0.032233074,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,11.6 d,0.777902237,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.019354208,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,30 d,60.33598299,"Ni58 -(n,p)-> Co58",35.91137372,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,30 d,60.33598299,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",23.94855837,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,30 d,19.07723316,"Fe54 -(n,p)-> Mn54",14.70587596,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,30 d,13.59111759,"Co59 -(n,g)-> Co60m -(IT)-> Co60",6.013797712,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,30 d,19.07723316,"Mn55 -(n,2n)-> Mn54",4.355332331,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,30 d,13.59111759,"Co59 -(n,g)-> Co60",3.623527861,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,30 d,13.59111759,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.384561581,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,30 d,3.745835427,"Ta181 -(n,g)-> Ta182",2.359089693,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,30 d,13.59111759,"Ni60 -(n,p)-> Co60",1.4909456,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,30 d,3.745835427,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.374197185,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Fe,59,,30 d,1.256011919,"Fe58 -(n,g)-> Fe59",1.149213226,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,30 d,0.849821126,"Ni58 -(n,np)-> Co57",0.827980723,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,30 d,0.875219809,"Cr50 -(n,g)-> Cr51",0.554162927,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,30 d,0.875219809,"Cr52 -(n,2n)-> Cr51",0.280796771,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Fe,59,,30 d,1.256011919,"Ni62 -(n,a)-> Fe59",0.073539498,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Cr,51,,30 d,0.875219809,"Fe54 -(n,a)-> Cr51",0.039621201,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Fe,59,,30 d,1.256011919,"Co59 -(n,p)-> Fe59",0.027707623,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,30 d,0.849821126,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.02114355,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,180 d,31.96209663,"Fe54 -(n,p)-> Mn54",24.63830181,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,180 d,32.49838817,"Ni58 -(n,p)-> Co58",19.34271566,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,180 d,30.08507624,"Co59 -(n,g)-> Co60m -(IT)-> Co60",13.31204453,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,180 d,32.49838817,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",12.89926023,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,180 d,30.08507624,"Co59 -(n,g)-> Co60",8.020982176,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,180 d,31.96209663,"Mn55 -(n,2n)-> Mn54",7.296946661,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,180 d,30.08507624,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",5.278426626,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,180 d,30.08507624,"Ni60 -(n,p)-> Co60",3.300332863,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,180 d,3.535128333,"Ta181 -(n,g)-> Ta182",2.226388473,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,180 d,1.354355931,"Ni58 -(n,np)-> Co57",1.319548983,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,180 d,3.535128333,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.29689718,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,180 d,1.354355931,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.033696376,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,230 d,34.78266262,"Fe54 -(n,p)-> Mn54",26.81256331,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,230 d,35.93192841,"Co59 -(n,g)-> Co60m -(IT)-> Co60",15.89915968,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,230 d,24.23614451,"Ni58 -(n,p)-> Co58",14.42511085,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,230 d,24.23614451,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",9.619810479,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,230 d,35.93192841,"Co59 -(n,g)-> Co60",9.579811433,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,230 d,34.78266262,"Mn55 -(n,2n)-> Mn54",7.940881877,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,230 d,35.93192841,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",6.304256839,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,230 d,35.93192841,"Ni60 -(n,p)-> Co60",3.941732546,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,230 d,3.177853531,"Ta181 -(n,g)-> Ta182",2.001380376,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,230 d,1.449678516,"Ni58 -(n,np)-> Co57",1.412421778,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,230 d,3.177853531,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.165827347,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,230 d,1.449678516,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.036068001,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,1 y,37.28548853,"Fe54 -(n,p)-> Mn54",28.74189169,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,1 y,49.5411876,"Co59 -(n,g)-> Co60m -(IT)-> Co60",21.92098469,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,1 y,49.5411876,"Co59 -(n,g)-> Co60",13.20817603,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,1 y,49.5411876,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",8.692001365,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Mn,54,,1 y,37.28548853,"Mn55 -(n,2n)-> Mn54",8.512277031,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,1 y,9.34651798,"Ni58 -(n,p)-> Co58",5.562954036,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,1 y,49.5411876,"Ni60 -(n,p)-> Co60",5.43466828,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,1 y,9.34651798,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",3.709819917,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,1 y,1.486313,"Ni58 -(n,np)-> Co57",1.448114756,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,1 y,2.031010737,"Ta181 -(n,g)-> Ta182",1.279110252,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Ta,182,,1 y,2.031010737,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.745096599,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,57,,1 y,1.486313,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.036979467,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,10 y,99.65187833,"Co59 -(n,g)-> Co60m -(IT)-> Co60",44.09396312,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,10 y,99.65187833,"Co59 -(n,g)-> Co60",26.56818728,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,10 y,99.65187833,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",17.48392205,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,60,,10 y,99.65187833,"Ni60 -(n,p)-> Co60",10.93181105,DT2,500MW_Port_Cell,SS316L(N)-IG,99
Co,58,,24 h,73.65130208,"Ni58 -(n,p)-> Co58",43.90206814,DT2,500MW_Port_Cell,SS660,99
Co,58,,24 h,73.65130208,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",29.2778656,DT2,500MW_Port_Cell,SS660,99
Mn,54,,24 h,7.438235322,"Fe54 -(n,p)-> Mn54",5.716655757,DT2,500MW_Port_Cell,SS660,99
Co,60,,24 h,7.925602752,"Co59 -(n,g)-> Co60m -(IT)-> Co60",2.688839989,DT2,500MW_Port_Cell,SS660,99
Co,60,,24 h,7.925602752,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.219327282,DT2,500MW_Port_Cell,SS660,99
Ni,57,,24 h,1.897371821,"Ni58 -(n,2n)-> Ni57",1.897371821,DT2,500MW_Port_Cell,SS660,99
Sc,48,,24 h,1.912497017,"Ti48 -(n,p)-> Sc48",1.800080442,DT2,500MW_Port_Cell,SS660,99
Mn,54,,24 h,7.438235322,"Mn55 -(n,2n)-> Mn54",1.713323124,DT2,500MW_Port_Cell,SS660,99
Co,60,,24 h,7.925602752,"Co59 -(n,g)-> Co60",1.620151714,DT2,500MW_Port_Cell,SS660,99
Co,60,,24 h,7.925602752,"Ni60 -(n,p)-> Co60",1.387693786,DT2,500MW_Port_Cell,SS660,99
Ta,182,,24 h,1.974678379,"Ta181 -(n,g)-> Ta182",1.243751177,DT2,500MW_Port_Cell,SS660,99
Na,24,,24 h,1.097417005,"Al27 -(n,a)-> Na24",1.097417005,DT2,500MW_Port_Cell,SS660,99
Co,57,,24 h,0.843649826,"Ni58 -(n,np)-> Co57",0.822001772,DT2,500MW_Port_Cell,SS660,99
Ta,182,,24 h,1.974678379,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.72448975,DT2,500MW_Port_Cell,SS660,99
Fe,59,,24 h,0.787182428,"Fe58 -(n,g)-> Fe59",0.657816867,DT2,500MW_Port_Cell,SS660,99
Sc,46,,24 h,0.734076184,"Ti46 -(n,p)-> Sc46",0.487830328,DT2,500MW_Port_Cell,SS660,99
Cr,51,,24 h,0.673323313,"Cr50 -(n,g)-> Cr51",0.426651317,DT2,500MW_Port_Cell,SS660,99
Mn,56,,24 h,0.553918292,"Mn55 -(n,g)-> Mn56",0.351715959,DT2,500MW_Port_Cell,SS660,99
Cr,51,,24 h,0.673323313,"Cr52 -(n,2n)-> Cr51",0.216183916,DT2,500MW_Port_Cell,SS660,99
Sc,46,,24 h,0.734076184,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.208433592,DT2,500MW_Port_Cell,SS660,99
Mn,56,,24 h,0.553918292,"Fe56 -(n,p)-> Mn56",0.202008462,DT2,500MW_Port_Cell,SS660,99
Sc,48,,24 h,1.912497017,"V51 -(n,a)-> Sc48",0.114309947,DT2,500MW_Port_Cell,SS660,99
Fe,59,,24 h,0.787182428,"Ni62 -(n,a)-> Fe59",0.106419192,DT2,500MW_Port_Cell,SS660,99
Sc,46,,24 h,0.734076184,"Ti47 -(n,np)-> Sc46",0.03016319,DT2,500MW_Port_Cell,SS660,99
Cr,51,,24 h,0.673323313,"Fe54 -(n,a)-> Cr51",0.02980129,DT2,500MW_Port_Cell,SS660,99
Co,57,,24 h,0.843649826,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.020998444,DT2,500MW_Port_Cell,SS660,99
Fe,59,,24 h,0.787182428,"Co59 -(n,p)-> Fe59",0.019262354,DT2,500MW_Port_Cell,SS660,99
Sc,46,,24 h,0.734076184,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.004367753,DT2,500MW_Port_Cell,SS660,99
Co,58,,11.6 d,76.99173331,"Ni58 -(n,p)-> Co58",45.89323239,DT2,500MW_Port_Cell,SS660,99
Co,58,,11.6 d,76.99173331,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",30.60575382,DT2,500MW_Port_Cell,SS660,99
Mn,54,,11.6 d,8.419814397,"Fe54 -(n,p)-> Mn54",6.471048354,DT2,500MW_Port_Cell,SS660,99
Co,60,,11.6 d,9.150193855,"Co59 -(n,g)-> Co60m -(IT)-> Co60",3.104294767,DT2,500MW_Port_Cell,SS660,99
Co,60,,11.6 d,9.150193855,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.562237283,DT2,500MW_Port_Cell,SS660,99
Mn,54,,11.6 d,8.419814397,"Mn55 -(n,2n)-> Mn54",1.939420048,DT2,500MW_Port_Cell,SS660,99
Co,60,,11.6 d,9.150193855,"Co59 -(n,g)-> Co60",1.870482628,DT2,500MW_Port_Cell,SS660,99
Co,60,,11.6 d,9.150193855,"Ni60 -(n,p)-> Co60",1.602107442,DT2,500MW_Port_Cell,SS660,99
Ta,182,,11.6 d,2.146341768,"Ta181 -(n,g)-> Ta182",1.351873363,DT2,500MW_Port_Cell,SS660,99
Co,57,,11.6 d,0.951733126,"Ni58 -(n,np)-> Co57",0.927311654,DT2,500MW_Port_Cell,SS660,99
Ta,182,,11.6 d,2.146341768,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.787471331,DT2,500MW_Port_Cell,SS660,99
Fe,59,,11.6 d,0.773423154,"Fe58 -(n,g)-> Fe59",0.646318793,DT2,500MW_Port_Cell,SS660,99
Sc,46,,11.6 d,0.779363574,"Ti46 -(n,p)-> Sc46",0.517926063,DT2,500MW_Port_Cell,SS660,99
Sc,46,,11.6 d,0.779363574,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.221292493,DT2,500MW_Port_Cell,SS660,99
Fe,59,,11.6 d,0.773423154,"Ni62 -(n,a)-> Fe59",0.104559076,DT2,500MW_Port_Cell,SS660,99
Sc,46,,11.6 d,0.779363574,"Ti47 -(n,np)-> Sc46",0.032024049,DT2,500MW_Port_Cell,SS660,99
Co,57,,11.6 d,0.951733126,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.023688638,DT2,500MW_Port_Cell,SS660,99
Fe,59,,11.6 d,0.773423154,"Co59 -(n,p)-> Fe59",0.018925665,DT2,500MW_Port_Cell,SS660,99
Sc,46,,11.6 d,0.779363574,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.004637213,DT2,500MW_Port_Cell,SS660,99
Co,58,,30 d,74.77537853,"Ni58 -(n,p)-> Co58",44.57210763,DT2,500MW_Port_Cell,SS660,99
Co,58,,30 d,74.77537853,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",29.72470847,DT2,500MW_Port_Cell,SS660,99
Mn,54,,30 d,9.397874649,"Fe54 -(n,p)-> Mn54",7.222736561,DT2,500MW_Port_Cell,SS660,99
Co,60,,30 d,10.56864602,"Co59 -(n,g)-> Co60m -(IT)-> Co60",3.585518849,DT2,500MW_Port_Cell,SS660,99
Co,60,,30 d,10.56864602,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.959432259,DT2,500MW_Port_Cell,SS660,99
Mn,54,,30 d,9.397874649,"Mn55 -(n,2n)-> Mn54",2.164706447,DT2,500MW_Port_Cell,SS660,99
Co,60,,30 d,10.56864602,"Co59 -(n,g)-> Co60",2.16044262,DT2,500MW_Port_Cell,SS660,99
Co,60,,30 d,10.56864602,"Ni60 -(n,p)-> Co60",1.850464232,DT2,500MW_Port_Cell,SS660,99
Ta,182,,30 d,2.232844435,"Ta181 -(n,g)-> Ta182",1.406357067,DT2,500MW_Port_Cell,SS660,99
Co,57,,30 d,1.055845555,"Ni58 -(n,np)-> Co57",1.028752558,DT2,500MW_Port_Cell,SS660,99
Ta,182,,30 d,2.232844435,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.819208295,DT2,500MW_Port_Cell,SS660,99
Fe,59,,30 d,0.675175018,"Fe58 -(n,g)-> Fe59",0.564216756,DT2,500MW_Port_Cell,SS660,99
Sc,46,,30 d,0.778211957,"Ti46 -(n,p)-> Sc46",0.517160756,DT2,500MW_Port_Cell,SS660,99
Sc,46,,30 d,0.778211957,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.220965503,DT2,500MW_Port_Cell,SS660,99
Fe,59,,30 d,0.675175018,"Ni62 -(n,a)-> Fe59",0.091276911,DT2,500MW_Port_Cell,SS660,99
Sc,46,,30 d,0.778211957,"Ti47 -(n,np)-> Sc46",0.031976729,DT2,500MW_Port_Cell,SS660,99
Co,57,,30 d,1.055845555,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.026279996,DT2,500MW_Port_Cell,SS660,99
Fe,59,,30 d,0.675175018,"Co59 -(n,p)-> Fe59",0.016521533,DT2,500MW_Port_Cell,SS660,99
Sc,46,,30 d,0.778211957,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.004630361,DT2,500MW_Port_Cell,SS660,99
Co,58,,180 d,47.94574199,"Ni58 -(n,p)-> Co58",28.57949788,DT2,500MW_Port_Cell,SS660,99
Co,58,,180 d,47.94574199,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",19.05939135,DT2,500MW_Port_Cell,SS660,99
Mn,54,,180 d,18.74042175,"Fe54 -(n,p)-> Mn54",14.40295114,DT2,500MW_Port_Cell,SS660,99
Co,60,,180 d,27.85704313,"Co59 -(n,g)-> Co60m -(IT)-> Co60",9.450780451,DT2,500MW_Port_Cell,SS660,99
Co,60,,180 d,27.85704313,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",7.800529216,DT2,500MW_Port_Cell,SS660,99
Co,60,,180 d,27.85704313,"Co59 -(n,g)-> Co60",5.694536756,DT2,500MW_Port_Cell,SS660,99
Co,60,,180 d,27.85704313,"Ni60 -(n,p)-> Co60",4.877489681,DT2,500MW_Port_Cell,SS660,99
Mn,54,,180 d,18.74042175,"Mn55 -(n,2n)-> Mn54",4.316668747,DT2,500MW_Port_Cell,SS660,99
Co,57,,180 d,2.003829598,"Ni58 -(n,np)-> Co57",1.95241133,DT2,500MW_Port_Cell,SS660,99
Ta,182,,180 d,2.509433513,"Ta181 -(n,g)-> Ta182",1.580566698,DT2,500MW_Port_Cell,SS660,99
Ta,182,,180 d,2.509433513,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.920686062,DT2,500MW_Port_Cell,SS660,99
Co,57,,180 d,2.003829598,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.049875319,DT2,500MW_Port_Cell,SS660,99
Co,58,,230 d,37.81394539,"Ni58 -(n,p)-> Co58",22.54013657,DT2,500MW_Port_Cell,SS660,99
Mn,54,,230 d,21.56861423,"Fe54 -(n,p)-> Mn54",16.57655847,DT2,500MW_Port_Cell,SS660,99
Co,58,,230 d,37.81394539,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",15.03179957,DT2,500MW_Port_Cell,SS660,99
Co,60,,230 d,35.18471349,"Co59 -(n,g)-> Co60m -(IT)-> Co60",11.9367659,DT2,500MW_Port_Cell,SS660,99
Co,60,,230 d,35.18471349,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",9.852423472,DT2,500MW_Port_Cell,SS660,99
Co,60,,230 d,35.18471349,"Co59 -(n,g)-> Co60",7.192459132,DT2,500MW_Port_Cell,SS660,99
Co,60,,230 d,35.18471349,"Ni60 -(n,p)-> Co60",6.160491485,DT2,500MW_Port_Cell,SS660,99
Mn,54,,230 d,21.56861423,"Mn55 -(n,2n)-> Mn54",4.968114603,DT2,500MW_Port_Cell,SS660,99
Co,57,,230 d,2.268269555,"Ni58 -(n,np)-> Co57",2.210065758,DT2,500MW_Port_Cell,SS660,99
Ta,182,,230 d,2.385754493,"Ta181 -(n,g)-> Ta182",1.502667468,DT2,500MW_Port_Cell,SS660,99
Ta,182,,230 d,2.385754493,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.875309466,DT2,500MW_Port_Cell,SS660,99
Co,57,,230 d,2.268269555,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.056457229,DT2,500MW_Port_Cell,SS660,99
Mn,54,,1 y,25.5444772,"Fe54 -(n,p)-> Mn54",19.63220795,DT2,500MW_Port_Cell,SS660,99
Co,60,,1 y,53.5896311,"Co59 -(n,g)-> Co60m -(IT)-> Co60",18.18081825,DT2,500MW_Port_Cell,SS660,99
Co,60,,1 y,53.5896311,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",15.0061685,DT2,500MW_Port_Cell,SS660,99
Co,60,,1 y,53.5896311,"Co59 -(n,g)-> Co60",10.95479239,DT2,500MW_Port_Cell,SS660,99
Co,58,,1 y,16.1313082,"Ni58 -(n,p)-> Co58",9.615550192,DT2,500MW_Port_Cell,SS660,99
Co,60,,1 y,53.5896311,"Ni60 -(n,p)-> Co60",9.383008509,DT2,500MW_Port_Cell,SS660,99
Co,58,,1 y,16.1313082,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",6.412517636,DT2,500MW_Port_Cell,SS660,99
Mn,54,,1 y,25.5444772,"Mn55 -(n,2n)-> Mn54",5.883914879,DT2,500MW_Port_Cell,SS660,99
Co,57,,1 y,2.569348125,"Ni58 -(n,np)-> Co57",2.503418653,DT2,500MW_Port_Cell,SS660,99
Ta,182,,1 y,1.685041471,"Ta181 -(n,g)-> Ta182",1.061323371,DT2,500MW_Port_Cell,SS660,99
Ta,182,,1 y,1.685041471,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.618224865,DT2,500MW_Port_Cell,SS660,99
Co,57,,1 y,2.569348125,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.063951075,DT2,500MW_Port_Cell,SS660,99
Co,60,,10 y,99.77763517,"Co59 -(n,g)-> Co60m -(IT)-> Co60",33.85056051,DT2,500MW_Port_Cell,SS660,99
Co,60,,10 y,99.77763517,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",27.9397334,DT2,500MW_Port_Cell,SS660,99
Co,60,,10 y,99.77763517,"Co59 -(n,g)-> Co60",20.39654418,DT2,500MW_Port_Cell,SS660,99
Co,60,,10 y,99.77763517,"Ni60 -(n,p)-> Co60",17.47006614,DT2,500MW_Port_Cell,SS660,99
Na,24,,24 h,64.06928172,"Al27 -(n,a)-> Na24",64.06928172,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,48,,24 h,25.44538449,"Ti48 -(n,p)-> Sc48",25.17108324,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,24 h,10.29094287,"Ti46 -(n,p)-> Sc46",6.821660208,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,24 h,10.29094287,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",2.914600839,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,24 h,10.29094287,"Ti47 -(n,np)-> Sc46",0.421825748,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,48,,24 h,25.44538449,"V51 -(n,a)-> Sc48",0.300509991,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,24 h,10.29094287,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.061128201,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.06752115,"Ti46 -(n,p)-> Sc46",63.01835842,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.06752115,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",26.92502334,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,48,,11.6 d,4.567346495,"Ti48 -(n,p)-> Sc48",4.5181105,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.06752115,"Ti47 -(n,np)-> Sc46",3.896817692,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.06752115,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.564701076,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,48,,11.6 d,4.567346495,"V51 -(n,a)-> Sc48",0.053940362,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.85668454,"Ti46 -(n,p)-> Sc46",66.19299905,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.85668454,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",28.28141019,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.85668454,"Ti47 -(n,np)-> Sc46",4.093125499,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.85668454,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.593148706,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.70959688,"Ti46 -(n,p)-> Sc46",66.09549758,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.70959688,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",28.23975203,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.70959688,"Ti47 -(n,np)-> Sc46",4.087096376,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.70959688,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.592275005,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.6087197,"Ti46 -(n,p)-> Sc46",66.02862811,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.6087197,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",28.21118159,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.6087197,"Ti47 -(n,np)-> Sc46",4.08296142,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.6087197,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.591675795,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
Sc,46,,1 y,99.11681648,"Ti46 -(n,p)-> Sc46",65.70255531,DT2,500MW_Port_Cell,"Titanium Alloy, Grade 5",99
